Name   Band    MJD          Mag   Magerr
2002bx  U      52370.24576  15.960  0.042
2002bx  U      52372.19764  16.113  0.041
2002bx  U      52373.18963  16.208  0.047
2002bx  U      52398.13829  18.202  0.065
2002bx  U      52402.13791  18.231  0.064
2002bx  U      52406.13215  18.341  0.071
2002bx  B      52368.13039  16.736  0.020
2002bx  B      52370.24896  16.736  0.020
2002bx  B      52372.20083  16.812  0.020
2002bx  B      52373.19284  16.830  0.020
2002bx  B      52384.12630  17.204  0.020
2002bx  B      52398.14150  17.570  0.021
2002bx  B      52406.13549  17.710  0.022
2002bx  V      52368.13289  16.610  0.016
2002bx  V      52370.25145  16.618  0.017
2002bx  V      52372.20331  16.652  0.018
2002bx  V      52373.19534  16.652  0.018
2002bx  V      52384.12880  16.680  0.017
2002bx  V      52402.14498  16.747  0.017
2002bx  V      52406.13799  16.810  0.019
2002bx  R      52368.13469  16.449  0.020
2002bx  R      52370.25323  16.429  0.022
2002bx  R      52372.20510  16.445  0.021
2002bx  R      52373.19712  16.410  0.020
2002bx  R      52384.13058  16.383  0.021
2002bx  R      52402.14747  16.395  0.021
2002bx  R      52406.13979  16.412  0.022
